OrderID,CustomerID,ProductID,Quantity,Date and time of purchase,Delivery time,Delivery Status
47,51,15,4,2024-06-17 01:01:03,,Cancelled
48,103,25,4,2024-10-01 06:28:57,2024-10-08 06:28:57,Delivered
49,294,19,3,2024-09-26 12:14:33,,Cancelled
50,358,58,2,2024-02-12 20:26:32,2024-02-14 20:26:32,Delivered
51,162,74,4,2024-01-20 05:00:39,2024-01-26 05:00:39,Delivered
52,35,37,2,2024-07-31 02:12:30,2024-08-06 02:12:30,Delivered
53,278,23,3,2024-05-04 06:45:47,2024-05-08 06:45:47,Delivered
54,416,31,2,2024-09-10 12:52:19,2024-09-12 12:52:19,Delivered
55,247,6,5,2024-01-16 04:56:27,2024-01-23 04:56:27,Delivered
56,137,13,2,2024-09-11 09:54:58,2024-09-14 09:54:58,Delivered
57,265,26,3,2024-03-28 20:53:04,2024-04-02 20:53:04,Delivered
58,292,64,1,2024-03-19 01:37:06,2024-03-22 01:37:06,Delivered
59,43,73,4,2024-03-15 05:40:50,2024-03-21 05:40:50,Delivered
60,172,54,5,2024-02-02 04:49:52,2024-02-07 04:49:52,Delivered
61,143,10,5,2024-08-19 11:35:37,,Cancelled
62,122,24,5,2024-07-16 14:17:03,2024-07-18 14:17:03,Delivered
63,97,50,2,2024-01-01 03:16:03,,Cancelled
64,152,66,4,2024-11-02 03:25:36,2024-11-05 03:25:36,Delivered
65,425,56,4,2024-05-10 21:36:37,2024-05-12 21:36:37,Delivered
66,68,54,2,2024-06-17 16:33:29,,Cancelled
67,325,47,2,2024-08-14 12:55:25,,Cancelled
68,22,18,3,2024-02-02 05:22:02,,Cancelled
69,129,72,1,2024-09-06 08:13:16,2024-09-12 08:13:16,Delivered
70,410,55,5,2024-10-04 04:42:53,2024-10-11 04:42:53,Delivered
71,269,49,2,2024-03-19 08:03:14,,Cancelled
72,412,11,1,2024-09-03 21:16:47,2024-09-10 21:16:47,Delivered
73,232,50,1,2024-05-13 00:19:24,2024-05-15 00:19:24,Delivered
74,306,7,3,2024-10-21 07:12:06,2024-10-25 07:12:06,Delivered
75,51,5,4,2024-08-20 19:13:09,2024-08-27 19:13:09,Delivered
76,62,29,3,2024-07-13 20:49:28,2024-07-15 20:49:28,Delivered
77,202,22,4,2024-04-10 12:03:54,,Cancelled
78,430,78,2,2024-10-29 20:30:08,,Cancelled
79,12,43,5,2024-05-17 05:04:40,,Cancelled
80,438,38,1,2024-10-04 05:29:30,2024-10-10 05:29:30,Delivered
81,325,70,1,2024-03-30 06:09:22,2024-04-02 06:09:22,Delivered
82,198,28,4,2024-03-06 20:02:09,,Cancelled
83,11,6,2,2024-03-22 01:17:56,2024-03-24 01:17:56,Delivered
84,409,77,2,2024-05-05 17:31:46,,Cancelled
85,445,7,3,2024-10-24 01:35:09,2024-10-26 01:35:09,Delivered
86,442,43,1,2024-07-10 10:13:24,2024-07-15 10:13:24,Delivered
87,409,18,5,2024-02-12 00:48:18,,Cancelled
88,361,10,5,2024-10-15 14:16:42,,Cancelled
89,427,69,5,2024-09-19 11:42:41,2024-09-23 11:42:41,Delivered
90,172,63,3,2024-06-15 12:53:17,2024-06-21 12:53:17,Delivered
91,69,59,1,2024-04-13 01:14:02,2024-04-19 01:14:02,Delivered
92,167,66,5,2024-10-03 16:20:50,2024-10-05 16:20:50,Delivered
93,48,18,4,2024-10-07 21:42:24,2024-10-14 21:42:24,Delivered
94,344,17,1,2024-09-15 20:33:46,2024-09-22 20:33:46,Delivered
95,2,38,1,2024-05-06 04:20:00,2024-05-10 04:20:00,Delivered
96,229,54,5,2024-01-12 00:54:38,,Cancelled
97,275,47,5,2024-03-12 18:34:57,2024-03-17 18:34:57,Delivered
98,429,57,3,2024-05-23 08:47:46,2024-05-26 08:47:46,Delivered
99,397,20,3,2024-02-14 12:15:08,2024-02-19 12:15:08,Delivered
100,71,51,2,2024-08-06 22:37:43,2024-08-10 22:37:43,Delivered
101,16,5,2,2024-07-24 00:15:34,2024-07-26 00:15:34,Delivered
102,443,43,2,2024-03-18 08:47:06,2024-03-20 08:47:06,Delivered
103,185,1,3,2024-10-25 07:11:18,,Cancelled
104,265,44,4,2024-09-29 12:55:10,,Cancelled
105,179,45,2,2024-05-23 01:49:39,2024-05-28 01:49:39,Delivered
106,239,59,4,2024-06-14 04:02:04,2024-06-17 04:02:04,Delivered
107,394,36,5,2024-09-13 14:16:20,2024-09-16 14:16:20,Delivered
108,252,6,1,2024-03-02 20:57:14,2024-03-05 20:57:14,Delivered
109,183,79,1,2024-04-24 19:08:06,2024-04-27 19:08:06,Delivered
110,107,66,3,2024-03-27 12:48:20,2024-04-01 12:48:20,Delivered
111,338,11,1,2024-08-12 16:46:24,2024-08-18 16:46:24,Delivered
112,114,63,2,2024-10-12 02:16:44,2024-10-14 02:16:44,Delivered
113,433,35,5,2024-08-29 22:14:00,2024-09-02 22:14:00,Delivered
114,175,34,1,2024-03-11 22:48:42,2024-03-17 22:48:42,Delivered
115,137,10,3,2024-01-25 08:09:21,2024-02-01 08:09:21,Delivered
116,140,75,2,2024-01-06 06:24:25,2024-01-12 06:24:25,Delivered
117,313,21,5,2024-01-08 11:12:06,,Cancelled
118,139,23,5,2024-02-24 23:11:45,2024-02-26 23:11:45,Delivered
119,141,5,3,2024-05-10 18:37:14,2024-05-15 18:37:14,Delivered
120,291,67,3,2024-01-18 14:43:22,2024-01-23 14:43:22,Delivered
121,385,35,5,2024-07-11 00:53:20,2024-07-16 00:53:20,Delivered
122,442,54,5,2024-03-11 10:32:04,2024-03-17 10:32:04,Delivered
123,445,15,5,2024-09-12 03:08:22,2024-09-16 03:08:22,Delivered
124,366,17,1,2024-08-13 04:42:58,2024-08-19 04:42:58,Delivered
125,452,64,3,2024-01-08 17:17:25,2024-01-12 17:17:25,Delivered
126,33,37,3,2024-01-23 16:10:30,,Cancelled
127,427,14,4,2024-07-14 16:54:26,2024-07-21 16:54:26,Delivered
128,338,27,5,2024-09-29 04:48:38,2024-10-02 04:48:38,Delivered
129,85,6,2,2024-06-29 20:05:35,2024-07-06 20:05:35,Delivered
130,362,4,3,2024-05-20 19:14:49,2024-05-26 19:14:49,Delivered
131,20,65,4,2024-06-21 21:11:36,2024-06-25 21:11:36,Delivered
132,159,28,5,2024-08-25 18:34:17,2024-08-31 18:34:17,Delivered
133,154,22,4,2024-02-26 13:32:51,2024-02-28 13:32:51,Delivered
134,410,65,1,2024-04-09 17:50:48,2024-04-14 17:50:48,Delivered
135,196,27,3,2024-10-09 15:55:20,2024-10-13 15:55:20,Delivered
136,92,75,3,2024-06-22 13:54:14,,Cancelled
137,285,30,2,2024-09-14 11:24:46,2024-09-20 11:24:46,Delivered
138,226,22,5,2024-08-09 19:56:23,2024-08-13 19:56:23,Delivered
139,349,15,2,2024-04-10 18:21:38,2024-04-17 18:21:38,Delivered
140,11,11,4,2024-05-17 08:06:38,,Cancelled
141,49,53,2,2024-04-24 02:14:35,2024-04-28 02:14:35,Delivered
142,370,65,2,2024-05-28 09:06:30,2024-06-02 09:06:30,Delivered
143,234,27,4,2024-06-25 04:56:13,2024-07-01 04:56:13,Delivered
144,64,44,2,2024-08-02 02:42:51,,Cancelled
145,290,45,1,2024-09-29 07:55:17,2024-10-02 07:55:17,Delivered
146,92,3,5,2024-05-25 03:22:46,2024-05-30 03:22:46,Delivered
147,219,27,5,2024-10-04 19:13:39,,Cancelled
148,30,65,1,2024-07-22 13:05:00,2024-07-29 13:05:00,Delivered
149,440,25,1,2024-05-14 23:34:31,2024-05-19 23:34:31,Delivered
150,55,48,1,2024-04-01 09:05:24,2024-04-04 09:05:24,Delivered
151,178,42,3,2024-10-12 17:35:35,2024-10-14 17:35:35,Delivered
152,61,41,5,2024-10-09 07:31:46,,Cancelled
153,459,7,4,2024-10-29 08:35:55,2024-10-31 08:35:55,Delivered
154,118,3,3,2024-06-30 01:31:22,,Cancelled
155,190,1,3,2024-10-08 19:30:51,2024-10-10 19:30:51,Delivered
156,96,14,1,2024-07-02 07:10:19,2024-07-07 07:10:19,Delivered
157,266,2,5,2024-09-26 08:06:32,2024-10-01 08:06:32,Delivered
158,39,51,2,2024-08-08 04:49:20,2024-08-15 04:49:20,Delivered
159,121,3,2,2024-07-25 07:54:55,2024-07-29 07:54:55,Delivered
160,371,36,2,2024-10-18 21:31:17,2024-10-24 21:31:17,Delivered
161,139,65,5,2024-01-07 23:06:40,2024-01-09 23:06:40,Delivered
162,95,72,1,2024-02-03 17:44:51,2024-02-07 17:44:51,Delivered
163,398,22,2,2024-01-03 00:50:35,2024-01-08 00:50:35,Delivered
164,240,14,4,2024-08-06 11:54:30,2024-08-08 11:54:30,Delivered
165,55,62,2,2024-08-25 22:50:01,2024-08-30 22:50:01,Delivered
166,230,18,4,2024-07-08 06:25:53,2024-07-14 06:25:53,Delivered
167,247,67,2,2024-02-24 00:12:31,2024-03-02 00:12:31,Delivered
168,380,73,2,2024-01-12 06:45:52,,Cancelled
169,249,14,3,2024-07-06 02:20:01,2024-07-10 02:20:01,Delivered
170,290,33,3,2024-09-09 07:22:37,2024-09-14 07:22:37,Delivered
171,78,67,4,2024-08-12 06:58:40,2024-08-14 06:58:40,Delivered
172,355,35,1,2024-04-23 21:06:56,2024-04-27 21:06:56,Delivered
173,186,1,4,2024-05-17 07:00:35,2024-05-19 07:00:35,Delivered
174,232,47,5,2024-10-12 00:40:00,2024-10-18 00:40:00,Delivered
175,247,31,3,2024-10-28 13:55:38,,Cancelled
176,232,53,5,2024-03-06 00:02:36,,Cancelled
177,363,11,3,2024-02-01 16:55:32,2024-02-05 16:55:32,Delivered
178,426,58,3,2024-07-29 11:35:43,2024-08-02 11:35:43,Delivered
179,207,50,5,2024-03-04 11:38:23,2024-03-09 11:38:23,Delivered
180,101,26,5,2024-02-28 15:16:56,2024-03-06 15:16:56,Delivered
181,312,34,3,2024-08-15 23:19:49,2024-08-20 23:19:49,Delivered
182,36,76,1,2024-03-21 16:04:41,,Cancelled
183,96,10,3,2024-05-29 14:41:20,2024-05-31 14:41:20,Delivered
184,51,76,4,2024-06-05 00:43:25,2024-06-10 00:43:25,Delivered
185,167,19,3,2024-01-27 22:25:03,2024-02-01 22:25:03,Delivered
186,53,56,5,2024-04-16 11:24:08,,Cancelled
187,129,77,5,2024-08-16 20:32:45,2024-08-20 20:32:45,Delivered
188,452,49,5,2024-08-22 04:56:35,2024-08-25 04:56:35,Delivered
189,241,26,2,2024-05-19 05:38:16,2024-05-24 05:38:16,Delivered
190,405,55,5,2024-05-17 21:28:05,2024-05-23 21:28:05,Delivered
191,347,28,2,2024-02-16 19:18:43,2024-02-22 19:18:43,Delivered
192,387,26,5,2024-11-03 01:15:39,,Cancelled
193,442,14,2,2024-08-16 02:58:55,2024-08-22 02:58:55,Delivered
194,58,13,5,2024-01-29 13:36:24,,Cancelled
195,300,2,5,2024-03-23 02:45:36,2024-03-25 02:45:36,Delivered
196,156,35,5,2024-03-07 19:02:49,2024-03-13 19:02:49,Delivered
197,161,62,3,2024-03-13 09:32:01,,Cancelled
198,3,31,5,2024-08-04 22:49:24,2024-08-07 22:49:24,Delivered
199,162,16,5,2024-04-25 12:05:56,2024-04-27 12:05:56,Delivered
200,116,7,4,2024-10-25 17:36:02,,Cancelled
201,160,71,1,2024-10-15 21:42:53,2024-10-17 21:42:53,Delivered
202,460,76,2,2024-03-11 11:29:50,2024-03-13 11:29:50,Delivered
203,269,53,1,2024-03-22 00:53:40,,Cancelled
204,318,37,4,2024-06-14 21:17:46,2024-06-19 21:17:46,Delivered
205,65,8,3,2024-06-16 06:16:12,2024-06-21 06:16:12,Delivered
206,419,39,2,2024-01-08 23:15:52,2024-01-10 23:15:52,Delivered
207,315,17,1,2024-02-27 10:28:17,2024-03-04 10:28:17,Delivered
208,255,30,2,2024-10-19 11:24:58,2024-10-24 11:24:58,Delivered
209,231,45,5,2024-09-13 01:20:32,2024-09-17 01:20:32,Delivered
210,285,41,4,2024-10-13 11:16:03,,Cancelled
211,449,77,4,2024-04-06 00:12:33,2024-04-12 00:12:33,Delivered
212,164,45,2,2024-05-13 05:45:20,2024-05-19 05:45:20,Delivered
213,437,51,4,2024-05-03 09:52:43,2024-05-06 09:52:43,Delivered
214,179,56,2,2024-01-20 20:56:31,,Cancelled
215,230,76,2,2024-05-07 00:49:41,2024-05-14 00:49:41,Delivered
216,207,31,1,2024-02-09 05:39:08,,Cancelled
217,232,24,4,2024-01-24 18:25:55,2024-01-30 18:25:55,Delivered
218,19,45,2,2024-03-09 17:29:55,2024-03-14 17:29:55,Delivered
219,272,43,1,2024-05-23 04:03:41,,Cancelled
220,436,71,1,2024-05-04 14:21:12,2024-05-11 14:21:12,Delivered
221,148,79,3,2024-03-20 22:58:21,2024-03-24 22:58:21,Delivered
222,423,58,3,2024-05-17 08:17:10,,Cancelled
223,321,14,4,2024-09-24 22:30:12,2024-10-01 22:30:12,Delivered
224,350,66,1,2024-09-10 05:50:24,,Cancelled
225,126,58,4,2024-01-29 17:16:48,,Cancelled
226,451,46,3,2024-07-25 00:50:22,2024-07-27 00:50:22,Delivered
227,62,64,1,2024-11-02 13:39:04,,Cancelled
228,334,36,2,2024-08-12 17:41:56,2024-08-17 17:41:56,Delivered
229,452,50,3,2024-08-24 02:49:48,,Cancelled
230,266,48,5,2024-04-05 16:26:41,2024-04-11 16:26:41,Delivered
231,455,33,5,2024-06-21 20:38:13,2024-06-27 20:38:13,Delivered
232,32,17,3,2024-04-07 03:27:04,,Cancelled
233,449,54,3,2024-04-26 06:07:21,2024-05-02 06:07:21,Delivered
234,372,31,3,2024-09-19 20:59:55,,Cancelled
235,88,22,5,2024-02-23 15:13:19,2024-02-26 15:13:19,Delivered
236,143,25,3,2024-06-03 20:58:04,2024-06-05 20:58:04,Delivered
237,383,58,3,2024-07-29 03:07:58,2024-08-04 03:07:58,Delivered
238,147,41,4,2024-08-31 05:52:20,2024-09-04 05:52:20,Delivered
239,364,10,4,2024-05-24 12:28:08,2024-05-28 12:28:08,Delivered
240,118,49,1,2024-06-24 07:28:57,,Cancelled
241,288,36,1,2024-10-26 15:21:40,2024-11-01 15:21:40,Delivered
242,346,62,1,2024-03-16 22:36:15,2024-03-19 22:36:15,Delivered
243,187,38,3,2024-06-23 06:19:26,,Cancelled
244,89,70,1,2024-03-15 22:23:49,,Cancelled
245,216,8,2,2024-02-04 22:45:00,2024-02-09 22:45:00,Delivered
246,380,24,4,2024-04-17 17:43:03,,Cancelled
247,278,74,5,2024-03-26 02:03:21,2024-03-29 02:03:21,Delivered
248,210,79,4,2024-10-22 13:31:10,2024-10-26 13:31:10,Delivered
249,163,8,5,2024-07-27 05:02:09,2024-07-31 05:02:09,Delivered
250,41,69,2,2024-02-20 15:50:53,2024-02-26 15:50:53,Delivered
251,253,42,2,2024-07-31 00:27:37,2024-08-02 00:27:37,Delivered
252,246,63,5,2024-04-24 10:58:40,2024-04-28 10:58:40,Delivered
253,329,75,1,2024-05-31 09:10:02,,Cancelled
254,251,71,3,2024-11-05 20:28:10,2024-11-08 20:28:10,Delivered
255,228,80,4,2024-05-18 12:14:52,2024-05-23 12:14:52,Delivered
256,402,38,2,2024-01-26 21:31:16,2024-01-30 21:31:16,Delivered
257,422,12,3,2024-04-07 17:53:19,2024-04-12 17:53:19,Delivered
258,230,60,5,2024-01-10 04:34:32,,Cancelled
259,256,79,5,2024-01-29 02:43:42,2024-02-04 02:43:42,Delivered
260,262,58,3,2024-08-22 21:04:22,2024-08-24 21:04:22,Delivered
261,314,70,3,2024-05-05 04:29:57,2024-05-10 04:29:57,Delivered
262,287,34,1,2024-09-06 19:02:46,2024-09-08 19:02:46,Delivered
263,406,1,2,2024-08-31 07:19:02,2024-09-02 07:19:02,Delivered
264,311,54,4,2024-02-22 21:44:17,2024-02-28 21:44:17,Delivered
265,121,16,2,2024-07-19 03:29:06,,Cancelled
266,137,48,4,2024-07-08 17:28:19,2024-07-10 17:28:19,Delivered
267,314,49,1,2024-01-21 08:12:07,,Cancelled
268,124,62,2,2024-02-19 09:13:25,2024-02-26 09:13:25,Delivered
269,427,22,1,2024-06-02 11:12:19,,Cancelled
270,353,45,2,2024-04-11 23:35:15,2024-04-17 23:35:15,Delivered
271,313,77,3,2024-11-02 23:09:27,,Cancelled
272,354,20,4,2024-06-08 17:04:16,,Cancelled
273,236,19,1,2024-04-05 00:09:45,2024-04-12 00:09:45,Delivered
274,91,50,4,2024-09-18 08:38:34,2024-09-25 08:38:34,Delivered
275,219,76,1,2024-02-27 09:47:35,2024-02-29 09:47:35,Delivered
276,74,32,2,2024-07-22 16:10:27,2024-07-26 16:10:27,Delivered
277,227,5,4,2024-10-25 14:05:00,2024-10-31 14:05:00,Delivered
278,87,37,1,2024-01-21 18:49:18,2024-01-23 18:49:18,Delivered
279,286,7,2,2024-07-27 13:57:23,2024-07-30 13:57:23,Delivered
280,269,2,5,2024-06-27 08:51:26,2024-07-04 08:51:26,Delivered
281,166,3,2,2024-07-09 01:13:10,2024-07-11 01:13:10,Delivered
282,31,36,3,2024-06-16 09:58:38,2024-06-21 09:58:38,Delivered
283,34,44,4,2024-01-02 13:44:26,2024-01-06 13:44:26,Delivered
284,163,25,5,2024-04-27 10:56:07,,Cancelled
285,137,51,4,2024-04-28 10:54:57,,Cancelled
286,194,37,5,2024-05-28 21:21:30,2024-05-30 21:21:30,Delivered
287,341,57,1,2024-04-10 03:33:08,,Cancelled
288,7,6,1,2024-07-26 20:20:13,2024-07-28 20:20:13,Delivered
289,419,8,3,2024-04-26 12:41:43,2024-05-01 12:41:43,Delivered
290,419,15,2,2024-02-22 18:23:35,2024-02-24 18:23:35,Delivered
291,84,14,4,2024-02-11 10:48:17,2024-02-14 10:48:17,Delivered
292,288,39,2,2024-02-11 01:14:19,2024-02-15 01:14:19,Delivered
293,28,5,4,2024-05-27 21:09:34,,Cancelled
294,420,40,3,2024-06-02 21:55:26,2024-06-05 21:55:26,Delivered
295,133,2,3,2024-08-01 04:19:08,2024-08-07 04:19:08,Delivered
296,148,56,2,2024-09-01 21:35:03,2024-09-03 21:35:03,Delivered
297,223,68,2,2024-01-13 19:34:22,,Cancelled
298,80,56,3,2024-10-05 19:38:49,,Cancelled
299,370,21,2,2024-04-16 13:21:51,2024-04-20 13:21:51,Delivered
300,319,35,5,2024-10-21 03:13:21,,Cancelled
301,456,18,2,2024-01-21 00:24:50,,Cancelled
302,365,64,3,2024-03-08 19:51:36,2024-03-14 19:51:36,Delivered
303,235,37,1,2024-04-09 18:13:29,2024-04-15 18:13:29,Delivered
304,145,51,4,2024-10-11 13:14:18,2024-10-17 13:14:18,Delivered
305,48,5,2,2024-03-10 23:41:28,2024-03-13 23:41:28,Delivered
306,302,43,4,2024-08-15 21:18:10,2024-08-22 21:18:10,Delivered
307,435,72,2,2024-07-19 02:04:55,,Cancelled
308,155,19,2,2024-02-03 22:24:47,2024-02-10 22:24:47,Delivered
309,42,54,4,2024-05-06 15:34:32,2024-05-09 15:34:32,Delivered
310,167,12,5,2024-03-06 22:46:12,,Cancelled
311,186,62,4,2024-08-12 03:19:55,2024-08-15 03:19:55,Delivered
312,68,71,4,2024-08-28 23:54:49,,Cancelled
313,391,41,4,2024-01-06 06:49:28,,Cancelled
314,447,9,4,2024-09-06 05:00:25,2024-09-08 05:00:25,Delivered
315,91,1,4,2024-10-07 22:10:38,2024-10-12 22:10:38,Delivered
316,26,28,1,2024-04-13 02:07:26,2024-04-17 02:07:26,Delivered
317,153,44,2,2024-02-06 19:35:28,2024-02-12 19:35:28,Delivered
318,31,53,2,2024-05-06 20:35:49,2024-05-08 20:35:49,Delivered
319,337,45,2,2024-06-22 15:27:53,,Cancelled
320,205,28,1,2024-11-05 21:34:15,2024-11-08 21:34:15,Delivered
321,162,77,4,2024-06-18 00:47:43,,Cancelled
322,441,73,4,2024-09-20 06:57:41,2024-09-24 06:57:41,Delivered
323,363,70,5,2024-05-02 19:29:31,2024-05-05 19:29:31,Delivered
324,94,49,5,2024-03-29 00:57:23,2024-04-02 00:57:23,Delivered
325,344,46,2,2024-05-06 14:01:04,2024-05-13 14:01:04,Delivered
326,350,3,5,2024-03-05 19:31:14,2024-03-09 19:31:14,Delivered
327,288,37,4,2024-05-20 14:43:02,,Cancelled
328,217,54,3,2024-02-01 14:06:43,,Cancelled
329,5,14,4,2024-05-12 20:02:14,2024-05-14 20:02:14,Delivered
330,425,22,3,2024-01-28 12:38:45,,Cancelled
331,408,6,5,2024-04-08 07:28:16,,Cancelled
332,57,51,5,2024-02-25 02:25:39,2024-03-01 02:25:39,Delivered
333,231,13,1,2024-10-25 21:07:53,2024-11-01 21:07:53,Delivered
334,177,31,1,2024-08-03 15:57:04,,Cancelled
335,328,3,4,2024-07-11 03:05:21,,Cancelled
336,181,7,5,2024-08-30 11:21:21,,Cancelled
337,85,36,3,2024-05-30 06:52:37,2024-06-06 06:52:37,Delivered
338,298,47,1,2024-06-24 16:17:33,2024-06-27 16:17:33,Delivered
339,126,7,1,2024-03-06 18:30:35,2024-03-12 18:30:35,Delivered
340,314,56,5,2024-01-01 01:46:30,2024-01-06 01:46:30,Delivered
341,232,75,1,2024-03-06 11:29:19,2024-03-10 11:29:19,Delivered
342,460,55,3,2024-06-13 19:01:20,2024-06-19 19:01:20,Delivered
343,109,11,4,2024-06-13 03:36:35,2024-06-20 03:36:35,Delivered
344,446,30,1,2024-09-13 03:20:43,2024-09-16 03:20:43,Delivered
345,215,41,5,2024-02-28 06:40:27,2024-03-05 06:40:27,Delivered
346,283,69,1,2024-02-21 03:50:40,2024-02-26 03:50:40,Delivered
347,462,59,4,2024-11-01 02:44:47,2024-11-06 02:44:47,Delivered
348,241,57,3,2024-03-27 13:34:46,2024-03-29 13:34:46,Delivered
349,359,65,1,2024-02-25 00:16:07,,Cancelled
350,340,24,2,2024-09-20 15:28:18,2024-09-25 15:28:18,Delivered
351,64,7,1,2024-11-03 19:36:30,2024-11-06 19:36:30,Delivered
352,455,16,5,2024-07-11 05:04:30,2024-07-15 05:04:30,Delivered
353,205,11,2,2024-09-20 20:23:38,2024-09-25 20:23:38,Delivered
354,372,29,1,2024-06-11 07:48:24,2024-06-16 07:48:24,Delivered
355,98,36,5,2024-06-03 16:25:11,2024-06-09 16:25:11,Delivered
356,104,14,4,2024-05-09 13:21:03,2024-05-15 13:21:03,Delivered
357,133,33,2,2024-05-29 08:44:46,2024-06-01 08:44:46,Delivered
358,437,64,4,2024-11-03 23:57:13,2024-11-06 23:57:13,Delivered
359,21,29,4,2024-01-18 16:24:26,2024-01-24 16:24:26,Delivered
360,347,13,4,2024-09-21 14:17:50,2024-09-27 14:17:50,Delivered
361,220,67,1,2024-06-03 21:37:16,2024-06-09 21:37:16,Delivered
362,176,36,4,2024-09-27 23:08:37,2024-10-01 23:08:37,Delivered
363,155,17,4,2024-08-01 11:49:16,2024-08-05 11:49:16,Delivered
364,74,50,4,2024-01-29 03:28:28,2024-02-05 03:28:28,Delivered
365,150,11,4,2024-08-18 16:27:11,2024-08-24 16:27:11,Delivered
366,340,57,3,2024-07-23 16:16:28,,Cancelled
367,333,71,5,2024-11-01 23:56:25,2024-11-04 23:56:25,Delivered
368,324,21,5,2024-05-25 09:06:14,2024-05-29 09:06:14,Delivered
369,157,25,5,2024-09-09 01:39:33,2024-09-12 01:39:33,Delivered
370,213,38,1,2024-02-03 19:10:50,2024-02-09 19:10:50,Delivered
371,102,29,3,2024-06-22 13:44:01,2024-06-24 13:44:01,Delivered
372,37,80,3,2024-03-09 07:18:56,,Cancelled
373,193,17,5,2024-03-12 21:35:54,2024-03-19 21:35:54,Delivered
374,202,26,4,2024-07-02 18:03:20,2024-07-06 18:03:20,Delivered
375,289,46,1,2024-03-18 09:00:25,2024-03-21 09:00:25,Delivered
376,302,57,4,2024-01-16 19:12:59,2024-01-21 19:12:59,Delivered
377,257,17,2,2024-06-01 13:34:32,2024-06-07 13:34:32,Delivered
378,347,41,5,2024-05-17 03:07:25,,Cancelled
379,212,40,2,2024-01-07 17:03:15,2024-01-14 17:03:15,Delivered
380,398,11,1,2024-04-13 10:03:19,2024-04-19 10:03:19,Delivered
381,415,39,2,2024-03-26 12:00:33,2024-04-01 12:00:33,Delivered
382,180,65,4,2024-06-23 22:36:45,2024-06-26 22:36:45,Delivered
383,232,42,1,2024-01-29 17:52:30,2024-02-02 17:52:30,Delivered
